ID,description,endDate,format,function,name,sourceRecordLink,startDate,type,warning
UNSW_LIB_EX_0003,"From 1959 to 1970, UNSW's main photographer of record was Max Dupain - one of the leading figures in 20th century Australian photography. This exhibition draws from photographs collected by the University Archives from the roughly 140 jobs Dupain carried out for UNSW. Part of the UNSW Library Exhibitions Program.",2018-05-31,,,Max Dupain: the architecture of UNSW,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/max-dupain-the-architecture-of-unsw,2018-04-23,Exhibition,
UNSW_LIB_EX_0004,"This exhibition brought together more than thirty paintings, drawings, prints and sculptures by leading Australian artists, reflecting the strengths of the University’s holdings of Australian art from the 1980s and 1990s. Part of the UNSW Library Exhibitions Program.",2018-03-27,,,Tip of the iceberg: Works from the UNSW Art Collection,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/tip-of-the-iceberg-works-from-the-unsw-art-collection,2017-12-15,Exhibition,
UNSW_LIB_EX_0005,"With story, data analysis and visualisation by Dr Jonathan Bollen (Senior Lecturer, School of Arts and Media), this exhibition maps the story of theatres in Sydney over the last hundred years. Part of the UNSW Library Exhibitions Program.",2021-05-14,,,Performing Sydney,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/performing-sydney,2020-12-02,Exhibition,
UNSW_LIB_EX_0006,"Dr Sarah Jane Moore asks us to listen to the Bandangi - the Sydney Rock Oyster. This dialogue between art and science opens up a space to embrace Indigenous knowledge, understandings and wisdoms, where the revitalisation of cultural practices is a call to arms to care for Sea Country. Part of the UNSW Library Exhibitions Program.",2020-11-13,,,Worlding With Oysters: Sarah Jane Moore,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/worlding-with-oysters-sarah-jane-moore,2020-10-14,Exhibition,
UNSW_LIB_EX_0007,"UNSW Sydney celebrated its 70th year in 2019 and this exhibition, a collaboration between UNSW Library and UNSW Archives, featured archival material that captures the University's humble beginnings in 1949 to the expansive multidisciplinary institution we know it as today. Part of the UNSW Library Exhibitions Program.",2021-05-27,,,UNSW: 70 years,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/unsw-70-years,2019-11-13,Exhibition,
UNSW_LIB_EX_0008,"This exhibition, presented for World AIDS Day 2019, brings together posters, artworks and ephemera drawn from personal collections that capture the community-lead response to the HIV/AIDS epidemic during the 1980s and 90s in Australia. Part of the UNSW Library Exhibitions Program.",2019-12-13,,,Strong and Powerful: Remembering the Age of AIDS,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/strong-and-powerful-remembering-the-age-of-aids,2019-11-27,Exhibition,
UNSW_LIB_EX_0009,"Curated by Dr Pedram Khosronejad (Western Sydney University), this exhibition traced the unexplored history of African slaves in Iran during the Qajar dynasty and looked at the unique relationship between photography and slavery in Iran from the 1840s to the 1930s. Part of the UNSW Library Exhibitions Program.",2019-11-14,,,"Photography, Race and Slavery: African Sitters of Qajar Era Iran",https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/photography-race-and-slavery,2019-09-23,Exhibition,
UNSW_LIB_EX_0010,"These exhibitions were presented on the occasion of the 3rd Australia New Zealand Marine Biotechnology Society Conference at UNSW in 2019. They were a collaboration between The Global Water Institute, UNSW Library and the UNSW Art Collection. Part of the UNSW Library Exhibitions Program.",2019-08-02,,,Sea Country and Gangaagundi Guunuwaygan exhibitions,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/sea-country-and-gangaagundi-guunuwaygan-exhibitions,2019-05-20,Exhibition,
UNSW_LIB_EX_0011,This exhibition marks the closure of the RealTime art magazine and the launch of its archive. RealTime was Australia’s critical guide to national and international contemporary arts from 1994-2018. Part of the UNSW Library Exhibitions Program.,2019-04-25,,,In Response: Dialogues with RealTime,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/in-response-dialogues-with-realtime,2019-02-25,Exhibition,
UNSW_LIB_EX_0012,UNSW Library and PVCE's Educational Delivery Services present this interactive exhibition of immersive learning experiences. Part of the UNSW Library Exhibitions Program.,2019-02-15,,,Extended Reality,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/extended-reality,2019-02-11,Exhibition,
UNSW_LIB_EX_0013,This exhibition presents artworks of four eminent Australian artists showcasing the diversity of humanity and geography along the ancient Silk Roads. Part of the UNSW Library Exhibitions Program.,,,,Peoples and Landscapes in Motion: from Silk Roads to Australia,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/peoples-and-landscapes-in-motion,2021-10-01,Online Exhibition,
UNSW_LIB_EX_0014,"Curated by Master of Curating and Cultural Leadership students, this exhibition brought together artworks made by 11 UNSW students during the 2020 lockdown. Part of the UNSW Library Exhibitions Program.",2022-02-03,,,About closed doors: isolation and art,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/about-closed-doors,2021-05-21,Exhibition,
UNSW_LIB_EX_0015,This exhibition and art prize features digital art by UNSW students showcasing their unique mental health journeys. Part of the UNSW Library Exhibitions Program.,,,,Mental Health and me,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/mental-health-and-me,2021-10-01,Online Exhibition,
UNSW_LIB_EX_0016,"UNSW Library Unstacked was a live data visualisation that displayed and interpreted usage of the UNSW Library collection in real-time, communicating the scale, breadth and depth of library research activity that is otherwise invisible. Part of the UNSW Library Exhibitions Program.",,,,UNSW Library Unstacked,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/unsw-library-unstacked,2021-05-01,Online Exhibition,
UNSW_LIB_EX_0017,"This selection of bookplates was sourced from the UNSW Library Special Collections. Displays explored the work of artists Adrian Feint and George David Perrottet, noted bookplate collector P. Neville Barnett, and Australian Ex Libris societies and clubs. Part of the UNSW Library Exhibitions Program.",2023-01-30,,,Ex Libris: 20th Century Australian Bookplates,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/ex-libris,2022-12-05,Exhibition,
UNSW_LIB_EX_0018,"The UNSW Wicked Collective invited students, staff, and researchers across the ADA Faculty to submit creative responses and interventions to one or more of the UN Sustainable Development Goals (SDGs) in relation to the wicked problem of Climate Change. Part of the UNSW Library Exhibitions Program.",2022-11-18,,,!DO SOMETHING,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/do-something,2022-09-12,Exhibition,
UNSW_LIB_EX_0019,"Trophy Dreams was a multi-artform interactive exhibition by artists from Studio A, Sydney's leading studio for artists living with intellectual disabilities. The exhibition included new works specially commissioned for UNSW. Part of the UNSW Library Exhibitions Program.",2022-08-30,,,Trophy Dreams,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/trophy-dreams,2022-05-30,Exhibition,
UNSW_LIB_EX_0020,"The Lawyers of the Uluru Statement celebrated the extraordinary work involved in constitutional recognition of First Nations people, and the support provided by academics at the Indigenous Law Centre. Part of the UNSW Library Exhibitions Program.",2022-11-27,,,The Lawyers of the Uluru Statement,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/the-lawyers-of-the-uluru-statement,2022-05-01,Exhibition,
UNSW_LIB_EX_0021,Students and staff share personal stories of what it is like to experience the question 'Where are you from?' in a mostly white Australia. Part of the UNSW Library Exhibitions Program.,2022-05-12,,,Where are you from?,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/where-are-you-from,2022-02-14,Exhibition,
UNSW_LIB_EX_0022,This rare book display featured a collection of weird and wonderful recipes dating back to the 17th century. 'Foie gras ice cream' and 'Turtle Fins on Toast' were among the curious delicacies found in the historic cookbooks held in the UNSW Library Special Collections. Part of the UNSW Library Exhibitions Program.,2024-03-15,,,Strange Tastes,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/strange-tastes,2023-11-21,Exhibition,
UNSW_LIB_EX_0023,"This display showcased two 2023 issues of ARC Creative's critical arts journal Framework, and documents its launch event 'Fatal Crush'. It featured a record of student writing as a call to get involved. Part of the UNSW Library Exhibitions Program.",2024-03-04,,,Framework 2023 (and beyond),https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/framework-2023,2023-10-20,Exhibition,
UNSW_LIB_EX_0024,"Part exhibition, part interactive makerspace, Care is a relationship invited audiences to learn about and share all kinds of experiences - from caring for a loved one with dementia, caring for our own and others mental health, to caring for the environment in the face of climate collapse. Part of the UNSW Library Exhibitions Program.",2023-11-17,,,Care is a relationship,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/care-is-a-relationship,2023-09-04,Exhibition,
UNSW_LIB_EX_0025,More-than-Human Wellbeing sought to attune visitors to their role in more-than-human ecologies and how their health and wellbeing and that of the planet is entangled. Part of the UNSW Library Exhibitions Program.,2023-08-18,,,More-than-Human Wellbeing,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/more-than-human-wellbeing,2023-05-22,Exhibition,
UNSW_LIB_EX_0026,Flesh & Bone: Illustrations of anatomy was a display of rare books from the UNSW Library Special Collections featuring anatomical illustrations from the 15th to 18th centuries. Part of the UNSW Library Exhibitions Program.,2023-08-18,,,Flesh & Bone,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/flesh-bone,2023-05-22,Exhibition,
UNSW_LIB_EX_0027,"Through their respective practices, the artists in Love. Respect. Pride. explored queer perspectives, aesthetics, and narratives around identity, sexuality and queer love. Part of the UNSW Library Exhibitions Program.",2023-05-26,,,Love. Respect. Pride,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/love-respect-pride,2023-02-24,Exhibition,
UNSW_LIB_EX_0028,Sonus Maris featured audio-visual media reinterpreting data which charts the unique dynamics of intermittently closed and open lakes and lagoons (ICOLLs) along the NSW coastline. Part of the UNSW Library Exhibitions Program.,2023-05-07,,,Sonus Maris,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/sonus-maris,2023-02-06,Exhibition,
UNSW_LIB_EX_0029,"Drawing on materials from UNSW Archives, this exhibition explored shifting perspectives over the past 50 years on a range of socio-political and feminist topics. Part of the UNSW Library Exhibitions Program.",2024-07-03,,,Liberating History: 50 Years of Tharunka’s “Women’s Issue”,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/liberating-history,2024-03-06,Exhibition,
UNSW_LIB_EX_0030,This exhibition celebrated UNSW's 75th anniversary in 2024 and traced the development of the collection. Part of the UNSW Library Exhibitions Program.,2024-06-14,,,"Hearts, Hands, Minds: 75 years UNSW Art Collection",https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/hearts-hands-minds,2024-03-25,Exhibition,
UNSW_LIB_EX_0031,"This exhibition displayed beautifully handbound volumes of the epic Indian poem The Mahābhārata, held in the UNSW Library Special Collections. Part of the UNSW Library Exhibitions Program.",2024-06-26,,,Threads of The Mahābhārata,https://www.library.unsw.edu.au/about-unsw-library/exhibitions-program/threads-of-the-mahabharata,2024-03-19,Exhibition,
UNSW_GALLERIES_Ex_00001,"Making Change' is an exhibition of innovative, change-making film and photo-based art by some of Australia’s foremost contemporary artists. The exhibition marks the 40th anniversary of relations between Australia and China. This exhibition was hosted at UNSW Galleries.",2013-10-05,,,Making Change,https://www.artdesign.unsw.edu.au/unsw-galleries/making-change,2013-8-23,Exhibition,
UNSW_GALLERIES_Ex_00002,"Part exhibition, part forum and part science-art workshop, 'Amnesia Lab' is a new kind of gallery event. This exhibition was hosted at UNSW Galleries.",2014-11-08,,,Amnesia Lab,https://www.artdesign.unsw.edu.au/unsw-galleries/amnesia-lab,2014-09-20,Exhibition,
UNSW_GALLERIES_Ex_00003,Quo Vadis: the last drawing show' attempts to suggest some answers to this question by showing the work of artists who have attempted to reconfigure drawing as a contemporary and engaged practice. This exhibition was hosted at UNSW Galleries.,2014-10-11,,,Quo Vadis: The Last Drawing Show,https://www.artdesign.unsw.edu.au/unsw-galleries/quo-vadis-last-drawing-show,2014-09-20,Exhibition,
UNSW_GALLERIES_Ex_00004,"Body Image' reveals new, compelling, arts-led modes of visualising complex scientific and biomedical data. This exhibition was hosted at UNSW Galleries.",2014-11-08,,,Body Image,https://www.artdesign.unsw.edu.au/unsw-galleries/body-image,2014-09-06,Exhibition,
UNSW_GALLERIES_Ex_00005,"UNSW Galleries presents Signs of Life, a program of exhibitions, live laboratories, and projects exploring the relationship between creative expression and specialised scientific fields.",2014-10-11,,,Signs of Life,https://www.artdesign.unsw.edu.au/unsw-galleries/signs-of-life,2014-09-06,Exhibition,
UNSW_GALLERIES_Ex_00006,"Testing the limits of possibility, 'Feral Experimental' brings together leading creative practitioners and researchers who explore the boundaries and intersections of experimental design, design thinking, data visualisation, and interaction design and service design. This exhibition was hosted at UNSW Galleries.",2014-08-30,,,Feral Experimental: New Design Thinking,https://www.artdesign.unsw.edu.au/unsw-galleries/feral-experimental-new-design-thinking,2014-07-18,Exhibition,
UNSW_GALLERIES_Ex_00007,"This exhibition is the result of a wilderness residency at Skullbone Plains, part of the Tasmanian Wilderness World Heritage Area. This exhibition was hosted at UNSW Galleries.",2014-08-30,,,The Skullbone Experiment,https://www.artdesign.unsw.edu.au/unsw-galleries/skullbone-experiment,2014-07-18,Exhibition,
UNSW_GALLERIES_Ex_00008,"Seoul – Sydney' is the result of a cultural collaboration between UNSW Art & Design’s Cicada Press and the Chugye University for the Arts in Seoul, South Korea. The exhibition features printmedia-based works by 46 contemporary Korean and Australian artists. This exhibition was hosted at UNSW Galleries.",2014-08-02,,,Seoul — Sydney: Contemporary Korean and Australian Prints,https://www.artdesign.unsw.edu.au/unsw-galleries/seoul-%E2%80%93-sydney-contemporary-korean-and-australian-prints,2014-07-11,Exhibition,
UNSW_GALLERIES_Ex_00009,Conquest of Space: Science Fiction & Contemporary Art' reveals previously unexplored intersections between science fiction (SF) and art. This exhibition was hosted at UNSW Galleries.,2014-07-05,,,Conquest of Space: Science Fiction & Contemporary Art,https://www.artdesign.unsw.edu.au/unsw-galleries/conquest-space-science-fiction-contemporary-art,2014-05-22,Exhibition,
UNSW_GALLERIES_Ex_00010,"Canadian photographer Edward Burtynsky explores nature transformed through industry. Philosophically and politically charged, 'Un_Earthed' reveals the unsustainability of our parasitical relationship to the Earth and its natural resources. This exhibition was hosted at UNSW Galleries.",2014-05-10,,,Edward Burtynsky: Un Earthed,https://www.artdesign.unsw.edu.au/unsw-galleries/edward-burtynsky-unearthed,2014-03-27,Exhibition,
UNSW_GALLERIES_Ex_00011,"The Enclave is a major video installation by New York-based Irish artist Richard Mosse, culminating his work in the eastern Democratic Republic of Congo. This exhibition was hosted at UNSW Galleries.",2014-06-07,,,Richard Mosse: The Enclave,https://www.artdesign.unsw.edu.au/unsw-galleries/richard-mosse-enclave,2014-03-14,Exhibition,
UNSW_GALLERIES_Ex_00012,This survey exhibition curated by Gavin Wilson traces Richard Goodwin's career as a sculptor and architect from 1991. This exhibition was hosted at UNSW Galleries.,2014-03-22,,,Refiguring Dystopia: Richard Goodwin 1991-2012,https://www.artdesign.unsw.edu.au/unsw-galleries/refiguring-dystopia-richard-goodwin,2014-02-06,Exhibition,
UNSW_GALLERIES_Ex_00013,"People Like Us' explores the interrelationship between art, technology and the human experience. This exhibition was hosted at UNSW Galleries.",2015-11-07,,,People Like Us,https://www.artdesign.unsw.edu.au/unsw-galleries/people-like-us,2015-09-05,Exhibition,
UNSW_GALLERIES_Ex_00014,Streets of Papunya: the re-invention of Papunya painting' is the most ambitious showcase of artists from this famed Western Desert arts centre to be presented in Sydney this decade. This exhibition was hosted at UNSW Galleries.,2015-11-07,,,The Streets of Papunya,https://www.artdesign.unsw.edu.au/unsw-galleries/streets-papunya,2015-09-05,Exhibition,
UNSW_GALLERIES_Ex_00015,"Informed by the disturbing rise of global crises requiring innovative solutions to urban space and housing, 'Shelter Union' presents experimental projects by Australian and international artists and architects. This exhibition was hosted at UNSW Galleries.",2015-08-15,,,Shelter Union,https://www.artdesign.unsw.edu.au/unsw-galleries/shelter-union,2015-05-15,Exhibition,
UNSW_GALLERIES_Ex_00016,"Meeting together in 'We are in Wonder LAND' senior and emerging artists, articulate masterful engagements of their own local art histories and 21st-century art possibilities, re-imagining the past and opening new places for future desert voices.  This exhibition was hosted at UNSW Galleries.",2015-08-15,,,We are in Wonder LAND: New Experimental Art from Central Australia,https://www.artdesign.unsw.edu.au/unsw-galleries/we-are-wonder-land-new-experimental-art-from-central-australia,2015-05-15,Exhibition,
UNSW_GALLERIES_Ex_00017,"Shaun Gladwell's 'Collection+',  (SCAF Project 25) is an exhibition featuring more than 40 works spanning Shaun Gladwell’s career and practice. This exhibition was hosted at UNSW Galleries.",2015-04-25,,,Collection+: Shaun Gladwell,https://www.artdesign.unsw.edu.au/unsw-galleries/collection-shaun-gladwell,2015-03-06,Exhibition,
UNSW_GALLERIES_Ex_00018,"The Earth and the Elements is an immersive five-channel film installation from Georgia Wallace-Crabbe that uses the Chinese philosophy of Daoism as a metaphoric frame to explore ecological issues arising from the extraction and flow of mineral resources from Australia to China. The work offers a broad view of human relationships with the natural environment, interweaving documentary footage filmed in both countries. This exhibition was hosted at UNSW Galleries.",2016-11-05,,,Georgia Wallace-Crabbe: The Earth and the Elements,https://www.artdesign.unsw.edu.au/unsw-galleries/georgia-wallace-crabbe-earth-and-elements,2016-08-19,Exhibition,
UNSW_GALLERIES_Ex_00019,"A poetic meditation on humanity's relationship with the ocean, Vertigo Sea explores what Ralph Waldo Emerson calls ""the sublime seas"". This exhibition was hosted at UNSW Galleries.",2016-11-05,,,John Akomfrah: Vertigo Sea,https://www.artdesign.unsw.edu.au/unsw-galleries/john-akomfrah-vertigo-sea,2016-08-19,Exhibition,
UNSW_GALLERIES_Ex_00020,"Taking water both as a theme and symbol of anthropocentric change, 'River Journey' fuses art and science to examine the current reality and long-term implications of water management and resource extraction strategies in Australia. This exhibition was hosted at UNSW Galleries.",2016-11-05,,,River Journey,https://www.artdesign.unsw.edu.au/unsw-galleries/river-journey,2016-08-19,Exhibition,
UNSW_GALLERIES_Ex_00021,Troubled Waters' is a suite of interdisciplinary exhibitions and projects that consider the impact of human activity and climate change on natural and marine environments. This exhibition was hosted at UNSW Galleries.,2016-11-05,,,Troubled Waters,https://www.artdesign.unsw.edu.au/unsw-galleries/troubled-waters,2016-08-19,Exhibition,
UNSW_GALLERIES_Ex_00022,"Deborah Kelly is a Sydney-based artist whose work explores lineages of representation, politics and history in public exchange. 'Scenes from the Death of Books' offers a glimpse of the artist’s continuing investigations into the demise of the printed page, and its afterlife in our collective cultural imagination. This exhibition was hosted at UNSW Galleries.",2016-07-23,,,Deborah Kelly: Scenes from the Death of Books,https://www.artdesign.unsw.edu.au/unsw-galleries/deborah-kelly-scenes-from-death-books,2016-06-03,Exhibition,
UNSW_GALLERIES_Ex_00023,"Imaging the Void: Making the Invisible Visible' is a series of images by Australian artist John Lethbridge, exploring the notion of ‘presence’ in performative photography and performative drawing. This exhibition was hosted at UNSW Galleries.",2016-07-23,,,John Lethbridge: Imaging the Void,https://www.artdesign.unsw.edu.au/unsw-galleries/john-lethbridge-imaging-void,2016-06-03,Exhibition,
UNSW_GALLERIES_Ex_00024,"Russell Lowe is an artist, architect, computer programmer, filmmaker, and motorcycle rider. 'Dark Machines: Presence in the Sublime' unites some of these disparate passions to investigate understandings of the sublime. This project brings together sculptural installation and iconic cultural leaders of the 20th century, with the perception of speed and experience of sound. This exhibition was hosted at UNSW Galleries.",2016-07-23,,,Russell Lowe: Dark Machines,https://www.artdesign.unsw.edu.au/unsw-galleries/russell-lowe-dark-machines,2016-06-03,Exhibition,
UNSW_GALLERIES_Ex_00025,"The Patient' examines the embodied experience of the artist as medical patient, and the medical patient as living subject in contemporary art. This exhibition was hosted at UNSW Galleries.",2016-08-06,,,The Patient,https://www.artdesign.unsw.edu.au/unsw-galleries/the-patient,2016-06-03,Exhibition,
UNSW_GALLERIES_Ex_00026,"Lesions in the Landscape is a major new three-channel video and multi-channel sound installation by Danish-Scottish artist Shona Illingworth. The work examines the complex individual and societal impact of amnesia, a condition in which the capacity to retrieve and form memory is lost and the past is effectively erased. This exhibition was hosted at UNSW Galleries.",2016-05-21,,,Shona Illingworth: Lesions in the Landscape,https://www.artdesign.unsw.edu.au/unsw-galleries/shona-illingworth-lesions-in-the-landscape,2016-03-04,Exhibition,
UNSW_GALLERIES_Ex_00027,"In a diverse range of 35 video and installation works by 14 high-profile artists, 'INK REMIX: Contemporary Art from Mainland China, Taiwan and Hong Kong' reveals the ongoing centrality of ink in contemporary Chinese art. This exhibition was hosted at UNSW Galleries.",2016-05-21,,,"Ink Remix: Contemporary Art from Mainland China, Taiwan and Hong Kong",https://www.artdesign.unsw.edu.au/unsw-galleries/ink-remix,2016-02-27,Exhibition,
UNSW_GALLERIES_Ex_00028,"The Column is a video installation by Albanian artist Adrian Paci, tracing the epic journey of an immense length of marble, extracted from the ground and taken to sea. En route from China to Italy and over the course of a grand voyage, workers toil to chisel and carve the block of marble into the shape of a classical column. This exhibition was hosted at UNSW Galleries.",2016-02-13,,,Adrian Paci: The Column,https://www.artdesign.unsw.edu.au/unsw-galleries/adrian-paci-column,2016-01-07,Exhibition,
